ID,sequence,coordinates,start_coordinates,length,error,strong_k,mid_k,food_k,containment
h57,pkfoscgb,"p: (3,8);k: (2,8);f: (7,8);o: (8,8);s: (5,8);c: (9,8);g: (4,8);b: (6,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h58,pkfsogbc,"p: (2,8);k: (4,8);f: (7,8);s: (5,8);o: (6,8);g: (8,8);b: (3,8);c: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h59,pkfsbgoc,"p: (4,8);k: (6,8);f: (5,8);s: (7,8);b: (8,8);g: (3,8);o: (9,8);c: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h60,pkfsgcbo,"p: (6,8);k: (7,8);f: (4,8);s: (3,8);g: (9,8);c: (5,8);b: (8,8);o: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h61,pkfsgcob,"p: (9,8);k: (8,8);f: (4,8);s: (7,8);g: (6,8);c: (3,8);o: (5,8);b: (2,8)","[2.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h62,pkfsgcbo,"p: (2,8);k: (6,8);f: (8,8);s: (4,8);g: (7,8);c: (3,8);b: (9,8);o: (5,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h63,pkfsbcgo,"p: (3,8);k: (8,8);f: (6,8);s: (4,8);b: (5,8);c: (7,8);g: (9,8);o: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h64,pkfsocgb,"p: (5,8);k: (4,8);f: (2,8);s: (7,8);o: (3,8);c: (8,8);g: (9,8);b: (6,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h65,pfskocgb,"p: (9,8);f: (6,8);s: (2,8);k: (8,8);o: (5,8);c: (4,8);g: (7,8);b: (3,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h66,pokfscgb,"p: (6,8);o: (2,8);k: (3,8);f: (9,8);s: (8,8);c: (4,8);g: (5,8);b: (7,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h67,pfskogcb,"p: (2,8);f: (8,8);s: (4,8);k: (5,8);o: (3,8);g: (7,8);c: (6,8);b: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
